State,Year,Quarter,Reg_name,Reg_users,App_opening
nagaland,2020,3,tuensang district,7220,132509
nagaland,2020,3,peren district,3486,63251
nagaland,2020,3,dimapur district,79061,1243188
nagaland,2020,3,zunheboto district,4942,95585
nagaland,2020,3,wokha district,7980,147082
nagaland,2023,3,mon district,29096,14455753
nagaland,2023,3,phek district,13632,5214062
nagaland,2023,3,longleng district,6317,2821050
nagaland,2023,3,mokokchung district,27434,4498336
nagaland,2023,3,kiphire district,7130,2857503
nagaland,2023,3,kohima district,65492,4274410
nagaland,2023,3,tuensang district,15941,3582164
nagaland,2023,3,peren district,7771,2573266
nagaland,2023,3,dimapur district,165789,5705581
nagaland,2023,3,zunheboto district,10809,2642056
nagaland,2023,3,wokha district,16792,3360875
nagaland,2018,3,mon district,1287,0
nagaland,2018,3,phek district,1083,0
nagaland,2018,3,longleng district,307,0
nagaland,2018,3,mokokchung district,2313,0
nagaland,2018,3,kiphire district,465,0
nagaland,2018,3,kohima district,6298,0
nagaland,2018,3,tuensang district,934,0
nagaland,2018,3,peren district,526,0
nagaland,2018,3,dimapur district,17039,0
nagaland,2018,3,zunheboto district,821,0
nagaland,2018,3,wokha district,1017,0
nagaland,2019,3,mon district,3976,77622
nagaland,2019,3,phek district,2642,43090
nagaland,2019,3,longleng district,907,13903
nagaland,2019,3,mokokchung district,5593,80637
nagaland,2019,3,kiphire district,1251,21298
nagaland,2019,3,kohima district,15677,255404
nagaland,2019,3,tuensang district,2599,46041
nagaland,2019,3,peren district,1377,22149
nagaland,2019,3,dimapur district,41036,608938
nagaland,2019,3,zunheboto district,2058,32884
nagaland,2019,3,wokha district,2961,42056
nagaland,2022,3,mon district,24237,4897532
nagaland,2022,3,phek district,11494,4023861
nagaland,2022,3,longleng district,5296,1261486
nagaland,2022,3,mokokchung district,23192,2846226
nagaland,2022,3,kiphire district,5963,1467835
nagaland,2022,3,kohima district,55046,2961074
nagaland,2022,3,tuensang district,13393,3246736
nagaland,2022,3,peren district,6534,1704388
nagaland,2022,3,dimapur district,139011,3144275
nagaland,2022,3,zunheboto district,9128,2539990
nagaland,2022,3,wokha district,14092,3135963
chandigarh,2021,3,chandigarh district,480463,6378807
chandigarh,2020,3,chandigarh district,362588,4888739
chandigarh,2023,3,chandigarh district,704144,1924922
chandigarh,2018,3,chandigarh district,143893,0
chandigarh,2019,3,chandigarh district,267337,4625196
chandigarh,2022,3,chandigarh district,598698,2173356
meghalaya,2021,3,north garo hills district,7584,514829
meghalaya,2021,3,south west khasi hills district,1802,266385
meghalaya,2021,3,west garo hills district,47869,2349399
meghalaya,2021,3,south garo hills district,6442,552240
meghalaya,2021,3,east jaintia hills district,15847,986899
meghalaya,2021,3,south west garo hills district,7531,527856
meghalaya,2021,3,east khasi hills district,90505,2044296
meghalaya,2021,3,east garo hills district,7389,652951
meghalaya,2021,3,ribhoi district,21875,973925
meghalaya,2021,3,west jaintia hills district,10337,591674
meghalaya,2021,3,west khasi hills district,5884,492502
meghalaya,2020,3,north garo hills district,5242,81708
meghalaya,2020,3,south west khasi hills district,1169,22236
meghalaya,2020,3,west garo hills district,34201,541797
meghalaya,2020,3,south garo hills district,4370,72019
meghalaya,2020,3,east jaintia hills district,11084,213957
meghalaya,2020,3,south west garo hills district,5082,86439
meghalaya,2020,3,east khasi hills district,65268,878005
meghalaya,2020,3,east garo hills district,5002,81354
meghalaya,2020,3,ribhoi district,15427,256534
meghalaya,2020,3,west jaintia hills district,6997,95731
meghalaya,2020,3,west khasi hills district,3899,54754
meghalaya,2023,3,north garo hills district,11624,3631495
meghalaya,2023,3,south west khasi hills district,2709,3612805
meghalaya,2023,3,west garo hills district,73025,14240950
meghalaya,2023,3,south garo hills district,9809,4984886
meghalaya,2023,3,east jaintia hills district,24260,4928725
meghalaya,2023,3,south west garo hills district,11626,4845999
meghalaya,2023,3,east khasi hills district,134378,15120022
meghalaya,2023,3,east garo hills district,11212,6810705
meghalaya,2023,3,ribhoi district,33175,8327821
meghalaya,2023,3,west jaintia hills district,15633,3522212
